LOINC_NUM,COMPONENT,PROPERTY,CLASS,Flag
104917-0,Communication phone number or email address,EmailAddr,ADMIN,"address, number, phone, email"
104919-6,Date and time of condition resolution,TmStp,ADMIN,date
104960-0,Device identifier of unspecified type,ID,ADMIN,identifier
104962-6,Device review due date,Date,ADMIN,date
104966-7,Latitude,ID,DOC.ADMIN,"latitude, identifier"
104968-3,Location end date and time,Date,ADMIN,date
104969-1,Location start date and time,Date,ADMIN,date
104970-9,Map URL,Addr,ADMIN,"address, url"
104988-1,Medical fitness certificate,Find,DOC.ONTOLOGY,certificate
104989-9,Fetal death certificate,Find,DOC.ONTOLOGY,certificate
104990-7,Driver license medical fitness certificate,Find,DOC.ONTOLOGY,"license, certificate"
105039-2,Date of expiration,Date,DOC.ADMIN,date
105513-6,Date blood drawn for lipid profile,Date,PHENX,date
105521-9,Breastfeeding start date,Date,H&P.HX,date
105580-5,Immunization certificate,Find,DOC.ONTOLOGY,certificate
105581-3,Proof of medical test certificate,Find,DOC.ONTOLOGY,certificate
105582-1,Recovery certificate,Find,DOC.ONTOLOGY,certificate
106163-9,Allergy last occurance date,Date,ADMIN,date
106177-9,Date and time of last update of data,Date,ADMIN,date
106180-3,End date and time,Date,ADMIN,date
106181-1,Address line,Addr,ADMIN,address
106188-6,simple name,Find,ADMIN,name
106189-4,name status,Find,ADMIN,name
106190-2,name title,Find,ADMIN,name
106193-6,Person,ID,ADMIN,identifier
106197-7,Start date and time,Date,ADMIN,date
11296-1,ED clinical finding practitioner ID,ID,ADMIN.ID,identifier
11298-7,ED consultant practitioner ID,ID,ADMIN.ID,identifier
11312-6,ED procedure practitioner ID,ID,ADMIN.ID,identifier
11319-1,Ambulance transport unit,ID,ADMIN.ID,identifier
11368-8,Illness or injury onset date and time,TmStp,H&P.HX,date
11489-2,Dictating practitioner ID,ID,ATTACH.CLINRPT,identifier
11513-9,Provider.signing,ID,ADMIN.ID,identifier
11530-3,Surgeon.assisting,ID,ADMIN.ID,identifier
11531-1,Surgeon.resident,ID,ADMIN.ID,identifier
11532-9,Surgeon.staff,ID,ADMIN.ID,identifier
11976-8,Ovulation date,Date,OB.US,date
12161-6,Vendor serial number,ID,OB.US,number
14687-8,Transfusion date,TmStp,BLDBK,date
18177-6,Vendor serial number,ID,CARD.US,number
18581-9,Origination site,Addr,ATTACH.AMB,address
18583-5,Destination site,Addr,ATTACH.AMB,address
18598-3,Control number identification.claims attachment,ID,ATTACH,number
18600-7,Primary practitioner ID,ID,ATTACH,identifier
18602-3,ED practitioner ID,ID,ATTACH,identifier
18627-0,Date.onset or exacerbation,Date,ATTACH.REHAB.PSYCH,date
18628-8,Date.start,TmStp,ATTACH.REHAB.PSYCH,date
18633-8,Author name,Pn,ATTACH.REHAB.PSYCH,name
18635-3,Signature date,TmStp,ATTACH.REHAB.PSYCH,date
18639-5,Date range (from_through) described by plan,Cmplx,ATTACH.REHAB.PSYCH,date
18640-3,Start date,Date,ATTACH.REHAB.PSYCH,date
18641-1,Date.end,Date,ATTACH.REHAB.PSYCH,date
18642-9,Date range,Cmplx,ATTACH.REHAB.PSYCH,date
18643-7,Start date,Date,ATTACH.REHAB.PSYCH,date
18644-5,End date,Date,ATTACH.REHAB.PSYCH,date
18646-0,Date attending MD referred patient for,Date,ATTACH.REHAB.PSYCH,date
18647-8,Date attending MD signed,TmStp,ATTACH.REHAB.PSYCH,date
18648-6,Date rehabilitation professional signed,TmStp,ATTACH.REHAB.PSYCH,date
18653-6,Estimated date of completion,Date,ATTACH.REHAB.PSYCH,date
18654-4,Date of last plan of treatment certification,Date,ATTACH.REHAB.PSYCH,date
18670-0,Date of next planned rehabilitation treatment,Cmplx,ATTACH.REHAB.ABUSE,date
18694-0,ED consultant practitioner name,Pn,ATTACH.ED,name
18700-5,ED practitioner name,Pn,ATTACH.ED,name
18705-4,ED referring practitioner name,Pn,ATTACH.ED,name
18706-2,ED referring practitioner ID,ID,ATTACH.ED,identifier
18711-2,Primary practitioner name,Pn,ATTACH.ED,name
18730-2,Author ID,ID,ATTACH.REHAB.PSYCH,identifier
18770-8,Dictating practitioner name,Pn,ATTACH.CLINRPT,name
18771-6,Provider.signing name,Pn,ADMIN,name
18772-4,Surgeon.resident name,Pn,ATTACH.CLINRPT,name
18773-2,Surgeon.staff name,Pn,ATTACH.CLINRPT,name
18774-0,Staff practitioner name,Pn,ATTACH.CLINRPT,name
18775-7,Staff practitioner ID,ID,ATTACH.CLINRPT,identifier
18779-9,Comparison.study,TmStp,ATTACH.CLINRPT,date
18781-5,Ordering practitioner name,Pn,ATTACH.CLINRPT,name
18812-8,Ordering practitioner,ID,ATTACH.AMB,identifier
18813-6,Ordering practitioner,Pn,ATTACH.AMB,name
19086-8,Collection end date,Date,SPEC,date
19088-4,Collection start date,Date,SPEC,date
19111-4,Hospital number,ID,ADMIN.ID,number
19132-0,Name,Pn,CLIN,name
19139-5,Pathologist name,Pn,CLIN,name
19151-0,Specimen drawn,TmStp,SPEC,date
19786-3,Vendor serial number,ID,ENDO.GI,number
19788-9,Date and time of cleaning,TmStp,ENDO.GI,date
19821-8,Return visit post GI procedure,TmStp,ENDO.GI,date
19823-4,Return visit post GI procedure,Tele,ENDO.GI,"number, telephone"
19825-9,Facility location,Prid,ENDO.GI,identifier
21112-8,Birth date,TmStp,MISC,date
21851-1,Address at cancer XXX Dx,Xad,TUMRRGT,address
21854-5,Date first Dx,Date,TUMRRGT,date
21863-6,Date last screened,Date,TUMRRGT,date
21865-1,Hospital.reporting,ID,TUMRRGT,identifier
21869-3,Hospital admission.first contact,TmStp,TUMRRGT,date
21870-1,Date of inpatient admission,TmStp,TUMRRGT,date
21871-9,Date of inpatient discharge,TmStp,TUMRRGT,date
21875-0,Cancer conference,TmStp,TUMRRGT,date
21919-6,Date 1st positive Bx,Date,TUMRRGT,date
21925-3,Date 1st surgery treatment,Date,TUMRRGT,date
21926-1,Date 1st radiation treatment,Date,TUMRRGT,date
21927-9,Date 1st chemotherapy treatment,Date,TUMRRGT,date
21928-7,Date 1st hormone treatment,Date,TUMRRGT,date
21929-5,Date 1st immunotherapy treatment,Date,TUMRRGT,date
21930-3,Date 1st other treatment,Date,TUMRRGT,date
21931-1,Date 1st cancer Rx (any).SEERS,Date,TUMRRGT,date
21932-9,Date 1st cancer Rx (any).COC,Date,TUMRRGT,date
21933-7,Date non cancer directed surgery Rx as part of 1st cancer,Date,TUMRRGT,date
21970-9,2nd course treatment start date,Date,TUMRRGT,date
21975-8,Date last contact,Date,TUMRRGT,date
21981-6,Recurrence date,Date,TUMRRGT,date
22005-3,Date case completed,Date,TUMRRGT,date
22006-1,Date case last changed,Date,TUMRRGT,date
22007-9,Date case report exported,Date,TUMRRGT,date
22008-7,Date case report received,Date,TUMRRGT,date
22009-5,Date case report loaded,Date,TUMRRGT,date
22010-3,Date tumor record available,TmStp,TUMRRGT,date
22018-6,Military patient number,ID,ADMIN.PATIENT.ID,number
22019-4,Death certificate number,ID,ADMIN.PATIENT.ID,"number, certificate"
22020-2,Maiden name,Pn,TUMRRGT,name
22023-6,Last follow-up hospital,ID,ADMIN.ID,identifier
22024-4,Following registry,ID,ADMIN.ID,identifier
22025-1,Physician managing,ID,ADMIN.ID,identifier
22026-9,Physician follow up,ID,ADMIN.ID,identifier
22027-7,Surgeon primary,ID,ADMIN.ID,identifier
22028-5,Physician,ID,ADMIN.ID,identifier
27456-3,Author ID,ID,ATTACH.REHAB.CARDIAC,identifier
27458-9,Start date,Date,ATTACH.REHAB.CARDIAC,date
27459-7,End date,Date,ATTACH.REHAB.CARDIAC,date
27471-2,Date.onset or exacerbation,Date,ATTACH.REHAB.NURS,date
27472-0,Date.start,TmStp,ATTACH.REHAB.NURS,date
27475-3,Date.start,TmStp,ATTACH.REHAB.ABUSE,date
27479-5,Author name,Pn,ATTACH.REHAB.ABUSE,name
27481-1,Signature date,TmStp,ATTACH.REHAB.ABUSE,date
27484-5,Date.onset or exacerbation,Date,ATTACH.REHAB.CARDIAC,date
27485-2,Date.start,TmStp,ATTACH.REHAB.CARDIAC,date
27487-8,Date range (from_through) described by plan,Cmplx,ATTACH.REHAB.ABUSE,date
27488-6,Start date,Date,ATTACH.REHAB.ABUSE,date
27489-4,Date.end,Date,ATTACH.REHAB.ABUSE,date
27490-2,Date range,Cmplx,ATTACH.REHAB.ABUSE,date
27492-8,Date attending MD referred patient for,Date,ATTACH.REHAB.ABUSE,date
27493-6,Date attending MD signed,TmStp,ATTACH.REHAB.ABUSE,date
27494-4,Date rehabilitation professional signed,Date,ATTACH.REHAB.ABUSE,date
27500-8,Estimated date of completion,Date,ATTACH.REHAB.ABUSE,date
27501-6,Date of last plan of treatment certification,Date,ATTACH.REHAB.ABUSE,date
27514-9,Author ID,ID,ATTACH.REHAB.ABUSE,identifier
27516-4,Start date,Date,ATTACH.REHAB.ABUSE,date
27517-2,End date,Date,ATTACH.REHAB.ABUSE,date
27520-6,Author name,Pn,ATTACH.REHAB.CARDIAC,name
27522-2,Signature date,TmStp,ATTACH.REHAB.CARDIAC,date
27533-9,Date range (from_through) described by plan,Cmplx,ATTACH.REHAB.CARDIAC,date
27534-7,Start date,Date,ATTACH.REHAB.CARDIAC,date
27535-4,Date.end,Date,ATTACH.REHAB.CARDIAC,date
27536-2,Date range,Cmplx,ATTACH.REHAB.CARDIAC,date
27540-4,Date attending MD referred patient for,Date,ATTACH.REHAB.CARDIAC,date
27541-2,Date attending MD signed,TmStp,ATTACH.REHAB.CARDIAC,date
27542-0,Date rehabilitation professional signed,Date,ATTACH.REHAB.CARDIAC,date
27547-9,Estimated date of completion,Date,ATTACH.REHAB.CARDIAC,date
27548-7,Date of last plan of treatment certification,Date,ATTACH.REHAB.CARDIAC,date
27552-9,Author name,Pn,ATTACH.REHAB.NURS,name
27554-5,Signature date,TmStp,ATTACH.REHAB.NURS,date
27557-8,Date range (from_through) described by plan,Cmplx,ATTACH.REHAB.NURS,date
27558-6,Start date,Date,ATTACH.REHAB.NURS,date
27559-4,Date.end,Date,ATTACH.REHAB.NURS,date
27560-2,Date range,Cmplx,ATTACH.REHAB.NURS,date
27562-8,Date attending MD referred patient for,Date,ATTACH.REHAB.NURS,date
27563-6,Date attending MD signed,TmStp,ATTACH.REHAB.NURS,date
27564-4,Date rehabilitation professional signed,Date,ATTACH.REHAB.NURS,date
27569-3,Estimated date of completion,Date,ATTACH.REHAB.NURS,date
27570-1,Date of last plan of treatment certification,Date,ATTACH.REHAB.NURS,date
27583-4,Author ID,ID,ATTACH.REHAB.NURS,identifier
27585-9,Start date,Date,ATTACH.REHAB.NURS,date
27586-7,End date,Date,ATTACH.REHAB.NURS,date
27598-2,Date.onset or exacerbation,Date,ATTACH.REHAB.OT,date
27599-0,Date.start,Date,ATTACH.REHAB.OT,date
27603-0,Author name,Pn,ATTACH.REHAB.OT,name
27605-5,Signature date,TmStp,ATTACH.REHAB.OT,date
27608-9,Date range (from_through) described by plan,Cmplx,ATTACH.REHAB.OT,date
27609-7,Start date,Date,ATTACH.REHAB.OT,date
27610-5,Date.end,Date,ATTACH.REHAB.OT,date
27611-3,Date range,Cmplx,ATTACH.REHAB.OT,date
27613-9,Date attending MD referred patient for,Date,ATTACH.REHAB.OT,date
27614-7,Date attending MD signed,TmStp,ATTACH.REHAB.OT,date
27615-4,Date rehabilitation professional signed,Date,ATTACH.REHAB.OT,date
27620-4,Estimated date of completion,Date,ATTACH.REHAB.OT,date
27621-2,Date of last plan of treatment certification,Date,ATTACH.REHAB.OT,date
27634-5,Author ID,ID,ATTACH.REHAB.OT,identifier
27636-0,Start date,Date,ATTACH.REHAB.OT,date
27637-8,End date,Date,ATTACH.REHAB.OT,date
27648-5,Start date,Date,ATTACH.REHAB.PT,date
27649-3,End date,Date,ATTACH.REHAB.PT,date
27661-8,Date.onset or exacerbation,Date,ATTACH.REHAB.PT,date
27662-6,Date.start,Date,ATTACH.REHAB.PT,date
27666-7,Author name,Pn,ATTACH.REHAB.PT,name
27668-3,Signature date,TmStp,ATTACH.REHAB.PT,date
27671-7,Date range (from_through) described by plan,Cmplx,ATTACH.REHAB.PT,date
27672-5,Start date,Date,ATTACH.REHAB.PT,date
27673-3,Date.end,Date,ATTACH.REHAB.PT,date
27674-1,Date range,Cmplx,ATTACH.REHAB.PT,date
27676-6,Date attending MD referred patient for,Date,ATTACH.REHAB.PT,date
27677-4,Date attending MD signed,TmStp,ATTACH.REHAB.PT,date
27678-2,Date rehabilitation professional signed,TmStp,ATTACH.REHAB.PT,date
27683-2,Estimated date of completion,Date,ATTACH.REHAB.PT,date
27684-0,Date of last plan of treatment certification,Date,ATTACH.REHAB.PT,date
27697-2,Author ID,ID,ATTACH.REHAB.PT,identifier
27700-4,Date.onset or exacerbation,Date,ATTACH.REHAB.RT,date
27701-2,Date.start,TmStp,ATTACH.REHAB.RT,date
27705-3,Author name,Pn,ATTACH.REHAB.RT,name
27707-9,Signature date,TmStp,ATTACH.REHAB.RT,date
27710-3,Date range (from_through) described by plan,Cmplx,ATTACH.REHAB.RT,date
27711-1,Start date,Date,ATTACH.REHAB.RT,date
27712-9,Date.end,Date,ATTACH.REHAB.RT,date
27713-7,Date range,Cmplx,ATTACH.REHAB.RT,date
27715-2,Date attending MD referred patient for,Date,ATTACH.REHAB.RT,date
27716-0,Date attending MD signed,TmStp,ATTACH.REHAB.RT,date
27717-8,Date rehabilitation professional signed,TmStp,ATTACH.REHAB.RT,date
27722-8,Estimated date of completion,Date,ATTACH.REHAB.RT,date
27723-6,Date of last plan of treatment certification,Date,ATTACH.REHAB.RT,date
27736-8,Author ID,ID,ATTACH.REHAB.RT,identifier
27738-4,Start date,Date,ATTACH.REHAB.RT,date
27739-2,End date,Date,ATTACH.REHAB.RT,date
27751-7,Date.onset or exacerbation,Date,ATTACH.REHAB.SOCIAL,date
27752-5,Date.start,TmStp,ATTACH.REHAB.SOCIAL,date
27756-6,Author name,Pn,ATTACH.REHAB.SOCIAL,name
27758-2,Signature date,TmStp,ATTACH.REHAB.SOCIAL,date
27761-6,Date range (from_through) described by plan,Cmplx,ATTACH.REHAB.SOCIAL,date
27762-4,Start date,Date,ATTACH.REHAB.SOCIAL,date
27763-2,Date.end,Date,ATTACH.REHAB.SOCIAL,date
27764-0,Date range,Cmplx,ATTACH.REHAB.SOCIAL,date
27766-5,Date attending MD referred patient for,Date,ATTACH.REHAB.SOCIAL,date
27767-3,Date attending MD signed,TmStp,ATTACH.REHAB.SOCIAL,date
27768-1,Date rehabilitation professional signed,TmStp,ATTACH.REHAB.SOCIAL,date
27773-1,Estimated date of completion,Date,ATTACH.REHAB.SOCIAL,date
27774-9,Date of last plan of treatment certification,Date,ATTACH.REHAB.SOCIAL,date
27787-1,Author ID,ID,ATTACH.REHAB.SOCIAL,identifier
27789-7,Start date,Date,ATTACH.REHAB.SOCIAL,date
27790-5,End date,Date,ATTACH.REHAB.SOCIAL,date
27801-0,Date.onset or exacerbation,Date,ATTACH.REHAB.ABUSE,date
28775-5,Physician,ID,EYE.GLASSES,identifier
29163-3,Date.onset or exacerbation,Date,ATTACH.REHAB.SPEECH,date
29164-1,Date start,Date,ATTACH.REHAB.SPEECH,date
29172-4,Date attending MD referred patient for,Date,ATTACH.REHAB.SPEECH,date
29173-2,Date attending MD signed,TmStp,ATTACH.REHAB.SPEECH,date
29175-7,Date rehabilitation professional signed,TmStp,ATTACH.REHAB.SPEECH,date
29179-9,Estimated date of completion,Date,ATTACH.REHAB.SPEECH,date
29180-7,Date of last plan of treatment certification,Date,ATTACH.REHAB.SPEECH,date
29188-0,Author ID,ID,ATTACH.REHAB.SPEECH,identifier
29189-8,Author name,Pn,ATTACH.REHAB.SPEECH,name
29191-4,Date end,Date,ATTACH.REHAB.SPEECH,date
29200-3,Signature date,TmStp,ATTACH.REHAB.SPEECH,date
29201-1,Start date,Date,ATTACH.REHAB.SPEECH,date
29203-7,Date range,Cmplx,ATTACH.REHAB.SPEECH,date
29204-5,End date,Date,ATTACH.REHAB.SPEECH,date
29205-2,Start date,Date,ATTACH.REHAB.SPEECH,date
29742-4,Date last dose,TmStp,DRUGDOSE,date
30573-0,Date of wound healing,Date,CLIN,date
30907-0,Date of next planned rehabilitation treatment,Cmplx,ATTACH.REHAB.ABUSE,date
30908-8,Next planned treatment start date,Date,ATTACH.REHAB.ABUSE,date
30909-6,Next planned treatment end date,Date,ATTACH.REHAB.ABUSE,date
30944-3,Date of vaccination temporary contraindication &or precaution expiration,Date,VACCIN,date
30946-8,Date.vaccination contraindication &or precaution effective,Date,VACCIN,date
30947-6,Date form completed,Date,ADMIN,date
30952-6,Date and time of vaccination,TmStp,VACCIN,date
30953-4,Date and time of onset of vaccination adverse event,TmStp,VACCIN,date
30976-5,Date received,TmStp,VACCIN,date
30980-7,Date vaccine due,Date,VACCIN,date
30981-5,Earliest date to give,Date,VACCIN,date
31035-9,Date of other vaccinations given within 4W prior to the date of vaccine causing adverse event,Date,VACCIN,date
31211-6,Date of death,TmStp,TUMRRGT,date
33067-0,Conception date,Date,OB.US,date
33882-2,Collection date,Date,SPEC,date
34970-4,Date ultrasound,Date,MISC,date
38201-0,Pain onset,TmStp,H&P.HX,date
38884-3,Vendor serial number,ID,DEVICES,number
39161-5,Date next screen visit,Date,ATTACH.CPHS,date
39255-5,Date previous screen visit,Date,ATTACH.CPHS,date
39268-8,"Follow-up (referred to) provider &or specialist, name",Pn,ATTACH.CPHS,name
39270-4,"Follow-up (referred to) provider &or specialist, address",Addr,ATTACH.CPHS,address
39271-2,"Follow-up (referred to) provider &or specialist, phone",Tele,ATTACH.CPHS,phone
39276-1,"Follow-up (referred to) program, address",Addr,ATTACH.CPHS,address
39277-9,"Follow-up (referred to) program, phone",Tele,ATTACH.CPHS,phone
39281-1,"Responsible party, name",Pn,ATTACH.CPHS,name
39282-9,"Responsible party, home phone number",Tele,ATTACH.CPHS,"number, phone"
39283-7,"Responsible party, work number",Tele,ATTACH.CPHS,number
39285-2,Name,Pn,ADMIN,name
39289-4,"Follow-up (referred to) provider &or specialist, appointment date",Date,ATTACH.CPHS,date
39290-2,"Follow-up (referred to) program, appointment date",Date,ATTACH.CPHS,date
39808-1,Date 1st most definitive surgery Rx for,TmStp,TUMRRGT,date
39809-9,Date 1st systemic treatment,TmStp,TUMRRGT,date
41393-0,Collection date,TmStp,SPEC,date
41394-8,Collection date,TmStp,SPEC,date
41395-5,Collection date,TmStp,SPEC,date
41899-6,Vendor serial number,ID,DEVICES,number
41913-5,Vendor serial number,ID,DEVICES,number
41917-6,Vendor serial number,ID,DEVICES,number
41928-3,Vendor serial number,ID,DEVICES,number
41933-3,Vendor serial number,ID,DEVICES,number
41937-4,Vendor serial number,ID,DEVICES,number
41963-0,Vendor serial number,ID,DEVICES,number
41968-9,Vendor serial number,ID,DEVICES,number
41978-8,Vendor serial number,ID,DEVICES,number
42029-9,Date of conclusive diagnosis,TmStp,TUMRRGT,date
42031-5,Date of diagnosis of multiple tumors,TmStp,TUMRRGT,date
42062-0,County--current,Prid,TUMRRGT,county
42077-8,Phone number,Tele,ADMIN.PATIENT,"number, phone"
42106-5,Archive facility identification number,ID,ADMIN.ID,number
42117-2,Date of surgical discharge,TmStp,TUMRRGT,date
42120-6,Date radiation ended,TmStp,TUMRRGT,date
42127-1,Name of follow-up contact,Pn,TUMRRGT,name
42130-5,Latitude,Angle,TUMRRGT,latitude
42131-3,Longitude,Angle,TUMRRGT,longitude
42781-5,Surgical operation date,TmStp,TUMRRGT,date
43157-7,Vendor serial number,ID,DEVICES,number
44951-2,Physician NPI,ID,ADMIN.ID,identifier
44952-0,Surgeon primary NPI,ID,ADMIN.ID,identifier
44953-8,Physician follow up NPI,ID,ADMIN.ID,identifier
44954-6,Physician managing NPI,ID,ADMIN.ID,identifier
44955-3,Archive facility identification number NPI,ID,ADMIN.FACILITY,number
44956-1,Following registry NPI,ID,ADMIN.ID,identifier
44959-5,Hospital.reporting NPI,ID,ADMIN.ID,identifier
45234-2,Date eligible and selected to start HIV Rx,Date,ART,date
45235-9,Date original clinic HIV Rx start,Date,ART,date
45237-5,Date lost to HIV Rx follow-up,Date,ART,date
45238-3,Date lost to HIV Rx therapy,Date,ART,date
45240-9,Isoniazid therapy start date,Date,ART,date
45242-5,Tuberculosis treatment start date,Date,ART,date
45250-8,HIV confirmation facility,Addr,ART,address
45253-2,HIV Rx prior clinic transferred from,Addr,ART,address
45255-7,HIV Rx clinic transferred to,Addr,ART,address
45257-3,Date dropped from HIV Rx,Date,ART,date
45285-4,Date and time,TmStp,DRUGDOSE,date
45346-4,Date tick removed,Date,MICRO,date
45347-2,Date tick attached,Date,MICRO,date
45348-0,Date tick acquired,Date,MICRO,date
45351-4,Date of skin test,TmStp,CHALSKIN,date
45352-2,Date skin test interpreted,TmStp,CHALSKIN,date
45353-0,Date of analysis,TmStp,MISC,date
45354-8,Date next dose,Date,VACCIN,date
45355-5,Date Rh immune globulin given,Date,BLDBK,date
45376-1,Date of transfusion reaction,TmStp,BLDBK,date
45392-8,First name,Pn,ADMIN.PATIENT,name
45394-4,Last name,Pn,ADMIN.PATIENT,name
45395-1,Name suffix,Pn,ADMIN.PATIENT,name
45396-9,Social Security number,ID,ADMIN.PATIENT.ID,"number, social security, identifier"
45397-7,Medicare or comparable number,ID,ADMIN.PATIENT.ID,number
45398-5,State provider number,ID,ADMIN.FACILITY,number
45399-3,Federal provider number,ID,SURVEY.MDS,number
45400-9,Medicaid number,ID,ADMIN.PATIENT.ID,number
45401-7,Postal code,Loc,ADMIN.PATIENT.DEMOG,postal
45427-2,Date background information form completed,Date,SURVEY.MDS,date
45453-8,Date of last day of MDS observation period,Date,SURVEY.MDS,date
45455-3,Date of reentry to facility,Date,SURVEY.MDS,date
45966-9,Social Security & Medicare numbers,-,PANEL.SURVEY.CMS,"number, social security"
45967-7,Facility provider numbers,-,PANEL.SURVEY.MDS,number
46106-1,Medical record number,ID,ADMIN.PATIENT.ID,"number, identifier"
46250-7,Vaccination take-response date,Date,VACCIN,date
46493-3,Medicaid provider number,ID,SURVEY.OASIS,"number, age"
46495-8,Branch number,ID,SURVEY.CMS,"number, age"
46496-6,Agency patient number,ID,SURVEY.CMS,"number, age"
46497-4,Start of care date,Date,SURVEY.CMS,date
46498-2,Resumption of care date,Date,SURVEY.CMS,date
46501-3,Date assessment information completed,Date,SURVEY.CMS,date
46503-9,Most recent inpatient discharge date,Date,SURVEY.CMS,date
46581-5,Date of last home visit,Date,SURVEY.CMS,date
46582-3,"Discharge, transfer, death date",Date,SURVEY.CMS,date
46697-9,Date,Date,SURVEY.RFC,date
47240-7,Date determined medically eligible to start HIV Rx,Date,ART,date
47241-5,Date determined medically eligible and ready to start HIV Rx,Date,ART,date
49070-6,Specimen drawn,TmStp,SPEC,date
49088-8,Sonographer name,Pn,OB.US,name
49089-6,Sonographer,ID,ADMIN.ID,identifier
49542-4,Date and time of pheresis procedure,TmStp,BLDBK,date
49548-1,Date referral lab test sent,TmStp,MISC,date
49832-9,Specimen drawn^1st specimen,TmStp,SPEC,date
49833-7,Specimen drawn^2nd specimen,TmStp,SPEC,date
50786-3,Date of entry,TmStp,SURVEY.CMS,date
51953-8,Collection date,TmStp,SPEC,date
51999-1,Time ambulance arrived at scene,TmStp,ATTACH.AMB,date
52000-7,Origination site latitude,Angle,ATTACH.AMB,latitude
52001-5,Origination site longitude,Angle,ATTACH.AMB,longitude
52002-3,Destination site latitude,Angle,ATTACH.AMB,latitude
52003-1,Destination site longitude,Angle,ATTACH.AMB,longitude
52010-6,Other patient name,Pn,ATTACH.AMB,name
52014-8,Receiving individual accepting responsibility for patient,ID,ATTACH.AMB,identifier
52023-9,Origination site name and address,Cmplx,ATTACH.AMB,"address, name"
52026-2,Destination site name & address,Cmplx,ATTACH.AMB,"address, name"
52069-2,Tax ID number - IRS form W9 attachment,Find,DOC.ADMIN,number
52076-7,Date range,DateRange,ATTACH.REHAB.ABUSE,date
52077-5,Date range,DateRange,ATTACH.REHAB.ABUSE,date
52080-9,Referring person name,Pn,ATTACH.REHAB.ABUSE,name
52081-7,Referring person identifier,ID,ATTACH.REHAB.ABUSE,identifier
52082-5,Date patient referred for treatment,Date,ATTACH.REHAB.ABUSE,date
52088-2,Date range certifying the plan of care,DateRange,ATTACH.REHAB.ABUSE,date
52090-8,Actual start of care date,Date,ATTACH.REHAB.ABUSE,date
52106-2,Date range of next planned treatment,DateRange,ATTACH.REHAB.ABUSE,date
52139-3,Date.onset or exacerbation,Date,ATTACH.REHAB.PULM,date
52140-1,Date range,DateRange,ATTACH.REHAB.PULM,date
52144-3,Author name,Pn,ATTACH.REHAB.PULM,name
52145-0,Author ID,ID,ATTACH.REHAB.PULM,identifier
52147-6,Date range,DateRange,ATTACH.REHAB.PULM,date
52151-8,Referring person name,Pn,ATTACH.REHAB.PULM,name
52152-6,Referring person identifier,ID,ATTACH.REHAB.PULM,identifier
52153-4,Date patient referred for treatment,Date,ATTACH.REHAB.PULM,date
52156-7,Date attending MD signed,TmStp,ATTACH.REHAB.PULM,date
52159-1,Date rehabilitation professional signed,TmStp,ATTACH.REHAB.PULM,date
52167-4,Date range certifying the plan of care,DateRange,ATTACH.REHAB.PULM,date
52169-0,Actual start of care date,Date,ATTACH.REHAB.PULM,date
52189-8,Date range,DateRange,ATTACH.REHAB.CARDIAC,date
52190-6,Date range,DateRange,ATTACH.REHAB.CARDIAC,date
52193-0,Referring person name,Pn,ATTACH.REHAB.CARDIAC,name
52194-8,Referring person identifier,ID,ATTACH.REHAB.CARDIAC,identifier
